,Adj Close,Close,High,Low,Open,Volume
1950-06-02,18.79,18.79,18.79,18.79,18.79,1450000.0
1950-06-05,18.6,18.6,18.6,18.6,18.6,1630000.0
1950-06-06,18.88,18.88,18.88,18.88,18.88,2250000.0
1950-06-07,18.93,18.93,18.93,18.93,18.93,1750000.0
1950-06-08,19.14,19.14,19.14,19.14,19.14,1780000.0
1950-06-09,19.26,19.26,19.26,19.26,19.26,2130000.0
1950-06-12,19.4,19.4,19.4,19.4,19.4,1790000.0
1950-06-13,19.25,19.25,19.25,19.25,19.25,1790000.0
1950-06-14,18.98,18.98,18.98,18.98,18.98,1650000.0
1950-06-15,18.93,18.93,18.93,18.93,18.93,1530000.0
1950-06-16,18.97,18.97,18.97,18.97,18.97,1180000.0
1950-06-19,18.92,18.92,18.92,18.92,18.92,1290000.0
1950-06-20,18.83,18.83,18.83,18.83,18.83,1470000.0
1950-06-21,19.0,19.0,19.0,19.0,19.0,1750000.0
1950-06-22,19.16,19.16,19.16,19.16,19.16,1830000.0
1950-06-23,19.14,19.14,19.14,19.14,19.14,1700000.0
1950-06-26,18.11,18.11,18.11,18.11,18.11,3950000.0
1950-06-27,17.91,17.91,17.91,17.91,17.91,4860000.0
1950-06-28,18.11,18.11,18.11,18.11,18.11,2600000.0
1950-06-29,17.44,17.44,17.44,17.44,17.44,3040000.0
1950-06-30,17.69,17.69,17.69,17.69,17.69,2660000.0
1950-07-03,17.64,17.64,17.64,17.64,17.64,1550000.0
1950-07-05,17.81,17.81,17.81,17.81,17.81,1400000.0
1950-07-06,17.91,17.91,17.91,17.91,17.91,1570000.0
1950-07-07,17.67,17.67,17.67,17.67,17.67,1870000.0
1950-07-10,17.59,17.59,17.59,17.59,17.59,1960000.0
1950-07-11,17.32,17.32,17.32,17.32,17.32,3250000.0
1950-07-12,16.87,16.87,16.87,16.87,16.87,3200000.0
1950-07-13,16.69,16.69,16.69,16.69,16.69,2660000.0
1950-07-14,16.87,16.87,16.87,16.87,16.87,1900000.0
1950-07-17,16.68,16.68,16.68,16.68,16.68,1520000.0
1950-07-18,17.06,17.06,17.06,17.06,17.06,1820000.0
1950-07-19,17.36,17.36,17.36,17.36,17.36,2430000.0
1950-07-20,17.61,17.61,17.61,17.61,17.61,3160000.0
1950-07-21,17.59,17.59,17.59,17.59,17.59,2810000.0
1950-07-24,17.48,17.48,17.48,17.48,17.48,2300000.0
1950-07-25,17.23,17.23,17.23,17.23,17.23,2770000.0
1950-07-26,17.27,17.27,17.27,17.27,17.27,2460000.0
1950-07-27,17.5,17.5,17.5,17.5,17.5,2300000.0
1950-07-28,17.69,17.69,17.69,17.69,17.69,2050000.0
1950-07-31,17.84,17.84,17.84,17.84,17.84,1590000.0
1950-08-01,18.02,18.02,18.02,18.02,18.02,1970000.0
1950-08-02,17.95,17.95,17.95,17.95,17.95,1980000.0
1950-08-03,17.99,17.99,17.99,17.99,17.99,1660000.0
1950-08-04,18.14,18.14,18.14,18.14,18.14,1600000.0
1950-08-07,18.41,18.41,18.41,18.41,18.41,1850000.0
1950-08-08,18.46,18.46,18.46,18.46,18.46,2180000.0
1950-08-09,18.61,18.61,18.61,18.61,18.61,1760000.0
1950-08-10,18.48,18.48,18.48,18.48,18.48,1870000.0
1950-08-11,18.28,18.28,18.28,18.28,18.28,1680000.0
1950-08-14,18.29,18.29,18.29,18.29,18.29,1280000.0
1950-08-15,18.32,18.32,18.32,18.32,18.32,1330000.0
1950-08-16,18.34,18.34,18.34,18.34,18.34,1770000.0
1950-08-17,18.54,18.54,18.54,18.54,18.54,2170000.0
1950-08-18,18.68,18.68,18.68,18.68,18.68,1780000.0
1950-08-21,18.7,18.7,18.7,18.7,18.7,1840000.0
1950-08-22,18.68,18.68,18.68,18.68,18.68,1550000.0
1950-08-23,18.82,18.82,18.82,18.82,18.82,1580000.0
1950-08-24,18.79,18.79,18.79,18.79,18.79,1620000.0
1950-08-25,18.54,18.54,18.54,18.54,18.54,1610000.0
1950-08-28,18.53,18.53,18.53,18.53,18.53,1300000.0
1950-08-29,18.54,18.54,18.54,18.54,18.54,1890000.0
1950-08-30,18.43,18.43,18.43,18.43,18.43,1490000.0
1950-08-31,18.42,18.42,18.42,18.42,18.42,1140000.0
1950-09-01,18.55,18.55,18.55,18.55,18.55,1290000.0
1950-09-05,18.68,18.68,18.68,18.68,18.68,1250000.0
1950-09-06,18.54,18.54,18.54,18.54,18.54,1300000.0
1950-09-07,18.59,18.59,18.59,18.59,18.59,1340000.0
1950-09-08,18.75,18.75,18.75,18.75,18.75,1960000.0
1950-09-11,18.61,18.61,18.61,18.61,18.61,1860000.0
1950-09-12,18.87,18.87,18.87,18.87,18.87,1680000.0
1950-09-13,19.09,19.09,19.09,19.09,19.09,2600000.0
1950-09-14,19.18,19.18,19.18,19.18,19.18,2350000.0
1950-09-15,19.29,19.29,19.29,19.29,19.29,2410000.0
1950-09-18,19.37,19.37,19.37,19.37,19.37,2040000.0
1950-09-19,19.31,19.31,19.31,19.31,19.31,1590000.0
1950-09-20,19.21,19.21,19.21,19.21,19.21,2100000.0
1950-09-21,19.37,19.37,19.37,19.37,19.37,1650000.0
1950-09-22,19.44,19.44,19.44,19.44,19.44,2510000.0
1950-09-25,19.42,19.42,19.42,19.42,19.42,2020000.0
1950-09-26,19.14,19.14,19.14,19.14,19.14,2280000.0
1950-09-27,19.41,19.41,19.41,19.41,19.41,2360000.0
1950-09-28,19.42,19.42,19.42,19.42,19.42,2200000.0
1950-09-29,19.45,19.45,19.45,19.45,19.45,1800000.0
1950-10-02,19.69,19.69,19.69,19.69,19.69,2200000.0
1950-10-03,19.66,19.66,19.66,19.66,19.66,2480000.0
1950-10-04,20.0,20.0,20.0,20.0,20.0,2920000.0
1950-10-05,19.89,19.89,19.89,19.89,19.89,2490000.0
1950-10-06,20.12,20.12,20.12,20.12,20.12,2360000.0
1950-10-09,20.0,20.0,20.16,20.0,20.16,3300000.0
1950-10-10,19.78,19.78,19.78,19.78,19.78,1870000.0
1950-10-11,19.86,19.86,19.86,19.86,19.86,2200000.0
1950-10-13,19.85,19.85,19.85,19.85,19.85,2030000.0
1950-10-16,19.71,19.71,19.71,19.71,19.71,2450000.0
1950-10-17,19.89,19.89,19.89,19.89,19.89,2010000.0
1950-10-18,20.01,20.01,20.01,20.01,20.01,2410000.0
1950-10-19,20.02,20.02,20.02,20.02,20.02,2250000.0
1950-10-20,19.96,19.96,19.96,19.96,19.96,1840000.0
1950-10-23,19.96,19.96,20.01,19.96,20.01,2580000.0
1950-10-24,20.08,20.08,20.08,20.08,20.08,1790000.0
1950-10-25,20.05,20.05,20.05,20.05,20.05,1930000.0
1950-10-26,19.61,19.61,19.61,19.61,19.61,3000000.0
1950-10-27,19.77,19.77,19.77,19.77,19.77,1800000.0
1950-10-30,19.61,19.61,19.79,19.61,19.79,2440000.0
1950-10-31,19.53,19.53,19.53,19.53,19.53,2010000.0
1950-11-01,19.56,19.56,19.56,19.56,19.56,1780000.0
1950-11-02,19.73,19.73,19.73,19.73,19.73,1580000.0
1950-11-03,19.85,19.85,19.85,19.85,19.85,1560000.0
1950-11-06,19.36,19.36,19.78,19.36,19.78,3080000.0
1950-11-08,19.56,19.56,19.56,19.56,19.56,1850000.0
1950-11-09,19.79,19.79,19.79,19.79,19.79,1760000.0
1950-11-10,19.94,19.94,19.94,19.94,19.94,1640000.0
1950-11-13,20.01,20.01,20.01,20.01,20.01,1630000.0
1950-11-14,19.86,19.86,19.86,19.86,19.86,1780000.0
1950-11-15,19.82,19.82,19.82,19.82,19.82,1620000.0
1950-11-16,19.72,19.72,19.72,19.72,19.72,1760000.0
1950-11-17,19.86,19.86,19.86,19.86,19.86,2130000.0
1950-11-20,19.93,19.93,19.95,19.93,19.95,3300000.0
1950-11-21,19.88,19.88,19.88,19.88,19.88,2010000.0
1950-11-22,20.16,20.16,20.16,20.16,20.16,2730000.0
1950-11-24,20.32,20.32,20.32,20.32,20.32,2620000.0
1950-11-27,20.18,20.18,20.28,20.18,20.28,2530000.0
1950-11-28,19.56,19.56,19.56,19.56,19.56,2970000.0
1950-11-29,19.37,19.37,19.37,19.37,19.37,2770000.0
1950-11-30,19.51,19.51,19.51,19.51,19.51,2080000.0
1950-12-01,19.66,19.66,19.66,19.66,19.66,1870000.0
1950-12-04,19.0,19.0,19.54,19.0,19.54,3290000.0
1950-12-05,19.31,19.31,19.31,19.31,19.31,1940000.0
1950-12-06,19.45,19.45,19.45,19.45,19.45,2010000.0
1950-12-07,19.4,19.4,19.4,19.4,19.4,1810000.0
1950-12-08,19.4,19.4,19.4,19.4,19.4,2310000.0
1950-12-11,19.72,19.72,19.72,19.5,19.5,3830000.0
1950-12-12,19.68,19.68,19.68,19.68,19.68,2140000.0
1950-12-13,19.67,19.67,19.67,19.67,19.67,2030000.0
1950-12-14,19.43,19.43,19.43,19.43,19.43,2660000.0
1950-12-15,19.33,19.33,19.33,19.33,19.33,2420000.0
1950-12-18,19.85,19.85,19.85,19.64,19.64,6520000.0
1950-12-19,19.96,19.96,19.96,19.96,19.96,3650000.0
1950-12-20,19.97,19.97,19.97,19.97,19.97,3510000.0
1950-12-21,19.98,19.98,19.98,19.98,19.98,3990000.0
1950-12-22,20.07,20.07,20.07,20.07,20.07,2720000.0
1950-12-26,19.92,19.92,19.92,19.92,19.92,2660000.0
1950-12-27,20.3,20.3,20.3,20.3,20.3,2940000.0
1950-12-28,20.38,20.38,20.38,20.38,20.38,3560000.0
1950-12-29,20.43,20.43,20.43,20.43,20.43,3440000.0
1951-01-02,20.77,20.77,20.77,20.41,20.41,4560000.0
1951-01-03,20.69,20.69,20.69,20.69,20.69,3370000.0
1951-01-04,20.87,20.87,20.87,20.87,20.87,3390000.0
1951-01-05,20.87,20.87,20.87,20.87,20.87,3390000.0
1951-01-08,21.0,21.0,21.0,20.88,20.88,3940000.0
1951-01-09,21.12,21.12,21.12,21.12,21.12,3800000.0
1951-01-10,20.85,20.85,20.85,20.85,20.85,3270000.0
1951-01-11,21.19,21.19,21.19,21.19,21.19,3490000.0
1951-01-12,21.11,21.11,21.11,21.11,21.11,2950000.0
1951-01-15,21.3,21.3,21.3,21.1,21.1,3900000.0
1951-01-16,21.46,21.46,21.46,21.46,21.46,3740000.0
1951-01-17,21.55,21.55,21.55,21.55,21.55,3880000.0
1951-01-18,21.4,21.4,21.4,21.4,21.4,3490000.0
1951-01-19,21.36,21.36,21.36,21.36,21.36,3170000.0
1951-01-22,21.18,21.18,21.41,21.18,21.41,3710000.0
1951-01-23,21.26,21.26,21.26,21.26,21.26,2080000.0
1951-01-24,21.16,21.16,21.16,21.16,21.16,1990000.0
1951-01-25,21.03,21.03,21.03,21.03,21.03,2520000.0
1951-01-26,21.26,21.26,21.26,21.26,21.26,2230000.0
1951-01-29,21.67,21.67,21.67,21.53,21.53,4020000.0
1951-01-30,21.74,21.74,21.74,21.74,21.74,2480000.0
1951-01-31,21.66,21.66,21.66,21.66,21.66,2340000.0
1951-02-01,21.77,21.77,21.77,21.77,21.77,2380000.0
1951-02-02,21.96,21.96,21.96,21.96,21.96,3030000.0
1951-02-05,22.2,22.2,22.2,22.08,22.08,4070000.0
1951-02-06,22.12,22.12,22.12,22.12,22.12,2370000.0
1951-02-07,21.99,21.99,21.99,21.99,21.99,2020000.0
1951-02-08,22.09,22.09,22.09,22.09,22.09,2120000.0
1951-02-09,22.17,22.17,22.17,22.17,22.17,2550000.0
1951-02-13,22.18,22.18,22.21,22.18,22.21,3460000.0
1951-02-14,22.12,22.12,22.12,22.12,22.12,2050000.0
1951-02-15,22.0,22.0,22.0,22.0,22.0,1700000.0
1951-02-16,22.13,22.13,22.13,22.13,22.13,1860000.0
1951-02-19,21.83,21.83,22.15,21.83,22.15,2730000.0
1951-02-20,21.79,21.79,21.79,21.79,21.79,2010000.0
1951-02-21,21.86,21.86,21.86,21.86,21.86,1670000.0
1951-02-23,21.92,21.92,21.92,21.92,21.92,1540000.0
1951-02-26,21.93,21.93,21.96,21.93,21.96,2330000.0
1951-02-27,21.76,21.76,21.76,21.76,21.76,1680000.0
1951-02-28,21.8,21.8,21.8,21.8,21.8,1640000.0
1951-03-01,21.85,21.85,21.85,21.85,21.85,1610000.0
1951-03-02,21.93,21.93,21.93,21.93,21.93,1570000.0
1951-03-05,21.79,21.79,21.94,21.79,21.94,2310000.0
1951-03-06,21.79,21.79,21.79,21.79,21.79,1490000.0
1951-03-07,21.86,21.86,21.86,21.86,21.86,1770000.0
1951-03-08,21.95,21.95,21.95,21.95,21.95,1440000.0
1951-03-09,21.95,21.95,21.95,21.95,21.95,1610000.0
1951-03-12,21.7,21.7,21.91,21.7,21.91,2110000.0
1951-03-13,21.41,21.41,21.41,21.41,21.41,2330000.0
1951-03-14,21.25,21.25,21.25,21.25,21.25,2110000.0
1951-03-15,21.29,21.29,21.29,21.29,21.29,2070000.0
1951-03-16,21.64,21.64,21.64,21.64,21.64,1660000.0
1951-03-19,21.56,21.56,21.67,21.56,21.67,1750000.0
1951-03-20,21.52,21.52,21.52,21.52,21.52,1020000.0
1951-03-21,21.64,21.64,21.64,21.64,21.64,1310000.0
1951-03-22,21.73,21.73,21.73,21.73,21.73,1290000.0
1951-03-26,21.53,21.53,21.53,21.47,21.47,2130000.0
1951-03-27,21.51,21.51,21.51,21.51,21.51,1250000.0
1951-03-28,21.26,21.26,21.26,21.26,21.26,1770000.0
1951-03-29,21.33,21.33,21.33,21.33,21.33,1300000.0
1951-03-30,21.48,21.48,21.48,21.48,21.48,1150000.0
1951-04-02,21.32,21.32,21.4,21.32,21.4,1760000.0
1951-04-03,21.26,21.26,21.26,21.26,21.26,1220000.0
1951-04-04,21.4,21.4,21.4,21.4,21.4,1300000.0
1951-04-05,21.69,21.69,21.69,21.69,21.69,1790000.0
1951-04-06,21.72,21.72,21.72,21.72,21.72,1450000.0
1951-04-09,21.68,21.68,21.68,21.68,21.68,1550000.0
1951-04-10,21.65,21.65,21.65,21.65,21.65,1280000.0
1951-04-11,21.64,21.64,21.64,21.64,21.64,1420000.0
1951-04-12,21.83,21.83,21.83,21.83,21.83,1530000.0
1951-04-13,22.09,22.09,22.09,22.09,22.09,2120000.0
1951-04-16,22.04,22.04,22.2,22.04,22.2,2680000.0
1951-04-17,22.09,22.09,22.09,22.09,22.09,1470000.0
1951-04-18,22.13,22.13,22.13,22.13,22.13,1780000.0
1951-04-19,22.04,22.04,22.04,22.04,22.04,1520000.0
1951-04-20,22.04,22.04,22.04,22.04,22.04,940000.0
1951-04-23,22.05,22.05,22.05,22.05,22.05,5060000.0
1951-04-24,21.96,21.96,21.96,21.96,21.96,1420000.0
1951-04-25,21.97,21.97,21.97,21.97,21.97,1520000.0
1951-04-26,22.16,22.16,22.16,22.16,22.16,1800000.0
1951-04-27,22.39,22.39,22.39,22.39,22.39,2120000.0
1951-04-30,22.43,22.43,22.43,22.43,22.43,2540000.0
1951-05-01,22.53,22.53,22.53,22.53,22.53,1760000.0
1951-05-02,22.62,22.62,22.62,22.62,22.62,1900000.0
1951-05-03,22.81,22.81,22.81,22.81,22.81,2060000.0
1951-05-04,22.77,22.77,22.77,22.77,22.77,2050000.0
1951-05-07,22.69,22.69,22.69,22.69,22.69,590000.0
1951-05-08,22.61,22.61,22.61,22.61,22.61,1600000.0
1951-05-09,22.64,22.64,22.64,22.64,22.64,1960000.0
1951-05-10,22.51,22.51,22.51,22.51,22.51,1660000.0
1951-05-11,22.33,22.33,22.33,22.33,22.33,1640000.0
1951-05-14,22.18,22.18,22.22,22.18,22.22,1900000.0
1951-05-15,21.76,21.76,21.76,21.76,21.76,2020000.0
1951-05-16,21.69,21.69,21.69,21.69,21.69,1660000.0
1951-05-17,21.91,21.91,21.91,21.91,21.91,1370000.0
1951-05-18,21.51,21.51,21.51,21.51,21.51,1660000.0
1951-05-21,21.46,21.46,21.55,21.46,21.55,2190000.0
1951-05-22,21.36,21.36,21.36,21.36,21.36,1440000.0
1951-05-23,21.16,21.16,21.16,21.16,21.16,1540000.0
1951-05-24,21.05,21.05,21.05,21.05,21.05,2580000.0
1951-05-25,21.03,21.03,21.03,21.03,21.03,1210000.0
1951-05-28,21.21,21.21,21.21,21.08,21.08,1660000.0
1951-05-29,21.35,21.35,21.35,21.35,21.35,1190000.0
1951-05-31,21.52,21.52,21.52,21.52,21.52,1220000.0
1951-06-01,21.48,21.48,21.48,21.48,21.48,9810000.0
1951-06-04,21.24,21.24,21.24,21.24,21.24,1100000.0
1951-06-05,21.33,21.33,21.33,21.33,21.33,1180000.0
1951-06-06,21.48,21.48,21.48,21.48,21.48,1200000.0
1951-06-07,21.56,21.56,21.56,21.56,21.56,1340000.0
1951-06-08,21.49,21.49,21.49,21.49,21.49,1000000.0
1951-06-11,21.61,21.61,21.61,21.61,21.61,1220000.0
1951-06-12,21.52,21.52,21.52,21.52,21.52,1200000.0
1951-06-13,21.55,21.55,21.55,21.55,21.55,1060000.0
1951-06-14,21.84,21.84,21.84,21.84,21.84,1300000.0
1951-06-15,22.04,22.04,22.04,22.04,22.04,1370000.0
1951-06-18,22.05,22.05,22.05,22.05,22.05,1050000.0
1951-06-19,22.02,22.02,22.02,22.02,22.02,1100000.0
1951-06-20,21.91,21.91,21.91,21.91,21.91,1120000.0
1951-06-21,21.78,21.78,21.78,21.78,21.78,1100000.0
1951-06-22,21.55,21.55,21.55,21.55,21.55,1340000.0
1951-06-25,21.29,21.29,21.29,21.29,21.29,2440000.0
1951-06-26,21.3,21.3,21.3,21.3,21.3,1260000.0
1951-06-27,21.37,21.37,21.37,21.37,21.37,1360000.0
1951-06-28,21.1,21.1,21.1,21.1,21.1,1940000.0
1951-06-29,20.96,20.96,20.96,20.96,20.96,1730000.0
1951-07-02,21.1,21.1,21.1,21.1,21.1,1350000.0
1951-07-03,21.23,21.23,21.23,21.23,21.23,1250000.0
1951-07-05,21.64,21.64,21.64,21.64,21.64,1410000.0
1951-07-06,21.64,21.64,21.64,21.64,21.64,1170000.0
1951-07-09,21.73,21.73,21.73,21.73,21.73,1110000.0
1951-07-10,21.63,21.63,21.63,21.63,21.63,990000.0
1951-07-11,21.68,21.68,21.68,21.68,21.68,970000.0
1951-07-12,21.8,21.8,21.8,21.8,21.8,1050000.0
1951-07-13,21.98,21.98,21.98,21.98,21.98,1320000.0
1951-07-16,21.73,21.73,21.73,21.73,21.73,1200000.0
1951-07-17,21.92,21.92,21.92,21.92,21.92,1280000.0
1951-07-18,21.88,21.88,21.88,21.88,21.88,1370000.0
1951-07-19,21.84,21.84,21.84,21.84,21.84,1120000.0
1951-07-20,21.88,21.88,21.88,21.88,21.88,1390000.0
1951-07-23,22.1,22.1,22.1,22.1,22.1,1320000.0
1951-07-24,22.44,22.44,22.44,22.44,22.44,1740000.0
1951-07-25,22.32,22.32,22.32,22.32,22.32,1870000.0
1951-07-26,22.47,22.47,22.47,22.47,22.47,1480000.0
1951-07-27,22.53,22.53,22.53,22.53,22.53,1450000.0
1951-07-30,22.63,22.63,22.63,22.63,22.63,1600000.0
1951-07-31,22.4,22.4,22.4,22.4,22.4,1550000.0
1951-08-01,22.51,22.51,22.51,22.51,22.51,1680000.0
1951-08-02,22.82,22.82,22.82,22.82,22.82,2130000.0
1951-08-03,22.85,22.85,22.85,22.85,22.85,1570000.0
1951-08-06,23.01,23.01,23.01,23.01,23.01,1600000.0
1951-08-07,23.03,23.03,23.03,23.03,23.03,1810000.0
1951-08-08,22.93,22.93,22.93,22.93,22.93,1410000.0
1951-08-09,22.84,22.84,22.84,22.84,22.84,1500000.0
1951-08-10,22.79,22.79,22.79,22.79,22.79,1260000.0
1951-08-13,22.8,22.8,22.8,22.8,22.8,1320000.0
1951-08-14,22.7,22.7,22.7,22.7,22.7,1180000.0
1951-08-15,22.79,22.79,22.79,22.79,22.79,1340000.0
1951-08-16,22.87,22.87,22.87,22.87,22.87,1750000.0
1951-08-17,22.94,22.94,22.94,22.94,22.94,1620000.0
1951-08-20,22.93,22.93,22.93,22.93,22.93,1130000.0
1951-08-21,22.83,22.83,22.83,22.83,22.83,1400000.0
1951-08-22,22.75,22.75,22.75,22.75,22.75,1130000.0
1951-08-23,22.9,22.9,22.9,22.9,22.9,1230000.0
1951-08-24,22.88,22.88,22.88,22.88,22.88,1210000.0
1951-08-27,22.85,22.85,22.85,22.85,22.85,1080000.0
1951-08-28,22.9,22.9,22.9,22.9,22.9,1280000.0
1951-08-29,23.08,23.08,23.08,23.08,23.08,1520000.0
1951-08-30,23.24,23.24,23.24,23.24,23.24,1950000.0
1951-08-31,23.28,23.28,23.28,23.28,23.28,1530000.0
1951-09-04,23.28,23.28,23.28,23.28,23.28,1520000.0
1951-09-05,23.42,23.42,23.42,23.42,23.42,1850000.0
1951-09-06,23.47,23.47,23.47,23.47,23.47,2150000.0
1951-09-07,23.53,23.53,23.53,23.53,23.53,1970000.0
1951-09-10,23.62,23.62,23.62,23.62,23.62,2190000.0
1951-09-11,23.5,23.5,23.5,23.5,23.5,2040000.0
1951-09-12,23.6,23.6,23.6,23.6,23.6,2180000.0
1951-09-13,23.71,23.71,23.71,23.71,23.71,2350000.0
1951-09-14,23.69,23.69,23.69,23.69,23.69,2170000.0
1951-09-17,23.62,23.62,23.62,23.62,23.62,1800000.0
1951-09-18,23.59,23.59,23.59,23.59,23.59,2030000.0
1951-09-19,23.59,23.59,23.59,23.59,23.59,2070000.0
1951-09-20,23.57,23.57,23.57,23.57,23.57,2100000.0
1951-09-21,23.4,23.4,23.4,23.4,23.4,2180000.0
1951-09-24,23.3,23.3,23.3,23.3,23.3,1630000.0
1951-09-25,23.38,23.38,23.38,23.38,23.38,1740000.0
1951-09-26,23.4,23.4,23.4,23.4,23.4,1520000.0
1951-09-27,23.27,23.27,23.27,23.27,23.27,1540000.0
1951-09-28,23.26,23.26,23.26,23.26,23.26,1390000.0
1951-10-01,23.47,23.47,23.47,23.47,23.47,1330000.0
1951-10-02,23.64,23.64,23.64,23.64,23.64,1870000.0
1951-10-03,23.79,23.79,23.79,23.79,23.79,2780000.0
1951-10-04,23.72,23.72,23.72,23.72,23.72,1810000.0
1951-10-05,23.78,23.78,23.78,23.78,23.78,2080000.0
1951-10-08,23.75,23.75,23.77,23.75,23.77,2620000.0
1951-10-09,23.65,23.65,23.65,23.65,23.65,1750000.0
1951-10-10,23.61,23.61,23.61,23.61,23.61,1320000.0
1951-10-11,23.7,23.7,23.7,23.7,23.7,1760000.0
1951-10-15,23.85,23.85,23.85,23.8,23.8,2470000.0
1951-10-16,23.77,23.77,23.77,23.77,23.77,1730000.0
1951-10-17,23.69,23.69,23.69,23.69,23.69,1460000.0
1951-10-18,23.67,23.67,23.67,23.67,23.67,1450000.0
1951-10-19,23.32,23.32,23.32,23.32,23.32,1990000.0
1951-10-22,22.75,22.75,23.13,22.75,23.13,3720000.0
1951-10-23,22.84,22.84,22.84,22.84,22.84,2110000.0
1951-10-24,23.03,23.03,23.03,23.03,23.03,1670000.0
1951-10-25,22.96,22.96,22.96,22.96,22.96,1360000.0
1951-10-26,22.81,22.81,22.81,22.81,22.81,1710000.0
1951-10-29,22.69,22.69,22.69,22.45,22.45,2920000.0
1951-10-30,22.66,22.66,22.66,22.66,22.66,1530000.0
1951-10-31,22.94,22.94,22.94,22.94,22.94,1490000.0
1951-11-01,23.1,23.1,23.1,23.1,23.1,1430000.0
1951-11-02,22.93,22.93,22.93,22.93,22.93,1230000.0
1951-11-05,22.82,22.82,22.82,22.74,22.74,1810000.0
1951-11-07,22.49,22.49,22.49,22.49,22.49,1490000.0
1951-11-08,22.47,22.47,22.47,22.47,22.47,1410000.0
1951-11-09,22.75,22.75,22.75,22.75,22.75,1470000.0
1951-11-13,22.79,22.79,22.89,22.79,22.89,1700000.0
1951-11-14,22.85,22.85,22.85,22.85,22.85,1220000.0
1951-11-15,22.84,22.84,22.84,22.84,22.84,1200000.0
1951-11-16,22.82,22.82,22.82,22.82,22.82,1140000.0
1951-11-19,22.73,22.73,22.84,22.73,22.84,5020000.0
1951-11-20,22.68,22.68,22.68,22.68,22.68,1130000.0
1951-11-21,22.64,22.64,22.64,22.64,22.64,1090000.0
1951-11-23,22.4,22.4,22.4,22.4,22.4,1210000.0
1951-11-26,22.43,22.43,22.43,22.3,22.3,1670000.0
1951-11-27,22.66,22.66,22.66,22.66,22.66,1310000.0
1951-11-28,22.61,22.61,22.61,22.61,22.61,1150000.0
1951-11-29,22.67,22.67,22.67,22.67,22.67,1070000.0
1951-11-30,22.88,22.88,22.88,22.88,22.88,1530000.0
1951-12-03,23.01,23.01,23.01,22.94,22.94,6260000.0
1951-12-04,23.14,23.14,23.14,23.14,23.14,1280000.0
1951-12-05,23.07,23.07,23.07,23.07,23.07,1330000.0
1951-12-06,23.34,23.34,23.34,23.34,23.34,1840000.0
1951-12-07,23.38,23.38,23.38,23.38,23.38,1990000.0
1951-12-10,23.42,23.42,23.42,23.41,23.41,1920000.0
1951-12-11,23.3,23.3,23.3,23.3,23.3,1360000.0
